Unnamed: 0,serial_num,Do you offer any services targeted specifically at Pre-Service educators?,Do you offer any services targeted specifically at Early Career Educators?,Pre-Service Educator Service Categories,Early Career Educator Service Categories
1,1,No we are not teachers,No we are not teachers,No service reported,No service reported
2,2,Yes,Yes,Other/Unclear,Other/Unclear
3,3,Yes,We offer a 'New to Ag Teaching' day annually,Other/Unclear,Professional Development & Training;Events & Conferences
4,4,No,No,No service reported,No service reported
5,5,No,No,No service reported,No service reported
6,6,No,No,No service reported,No service reported
7,7,No,No,No service reported,No service reported
8,8,Yes,No,Other/Unclear,No service reported
9,9,No,Workshops on choral conducting and directing skills and techniques,No service reported,Professional Development & Training
10,10,Free membership for tertiary students,Yes,Membership & Fee Support,Other/Unclear
11,11,Not exactly but provide PST free attendance to our workshops and conferences and any other events,No,Membership & Fee Support;Professional Development & Training;Events & Conferences,No service reported
12,12,"Provide pre-service teachers with employment information, curriculum training, classroom observation opportunities, volunteer roles.",No,Career & Employment Support;Professional Development & Training;Classroom & Practical Support;Events & Conferences,No service reported
13,13,No,No,No service reported,No service reported
14,14,No,Yes,No service reported,Other/Unclear
15,15,Yes,NO,Other/Unclear,No service reported
16,16,we have in the past but the take up was low,Yes,Other/Unclear,Other/Unclear
17,17,No,No,No service reported,No service reported
18,18,Free membership and reduced cost events,Reduced cost membership,Membership & Fee Support;Events & Conferences,Membership & Fee Support
19,19,"No, at this stage just incentives to attend PD at reduced cost",No,Membership & Fee Support;Professional Development & Training,No service reported
20,20,No,No,No service reported,No service reported
21,21,We ensure most PD is inclusive of Pre-Service educators,We ensure most PD is inclusive of Early Career educators,Professional Development & Training,Professional Development & Training
22,22,PD - Aimed at Pre-Service Teachers,As above,Professional Development & Training,Professional Development & Training
23,23,No,We support ECT teachers to attend other events through MLTASA and other associations,No service reported,Events & Conferences;Networking & Community Support
24,24,No,No,No service reported,No service reported
25,25,No,No,No service reported,No service reported
26,26,trying to contact - e-mail them personally - invitation to  hub group - mentoring,PD oppurtunities specific for the role - WHS day / Conferences? hub group invitations/ targeted visits,Mentoring;Networking & Community Support,Professional Development & Training;Networking & Community Support;Events & Conferences
27,27,"Early Career Teacher Expo, presentation of the Adelaide Uni Dux of Languages award.",Early Career Teacher Expo/ Applying for Languages Teacher Jobs PL,Career & Employment Support;Events & Conferences,Career & Employment Support;Professional Development & Training;Events & Conferences
28,28,"T and D specific, $0 membership",T and D,Membership & Fee Support,Other/Unclear
29,29,Yes,Yes,Other/Unclear,Other/Unclear
30,30,"discounted workshops, free membership",No,Membership & Fee Support;Professional Development & Training,No service reported
31,31,No,Yes,No service reported,Other/Unclear
32,32,SACE sessions and connection opportunities.,No,Professional Development & Training;Networking & Community Support,No service reported
33,33,No,No,No service reported,No service reported
34,34,"Student membership (free), student discount on publications",-,Membership & Fee Support;Resources & Publications,No service reported
35,35,Our pedagogy training is available to pre-service educators and we mentor those teaching the subject of philosophy,Ongoing membership after initial training and networking,Professional Development & Training;Mentoring,Membership & Fee Support;Networking & Community Support
36,36,No,No,No service reported,No service reported
37,37,No,No,No service reported,No service reported
38,38,No,No,No service reported,No service reported
39,39,No,mentorship and workshops,No service reported,Mentoring;Professional Development & Training
40,40,No,No,No service reported,No service reported
41,41,No,Yes,No service reported,Other/Unclear
42,42,No,The Goethe-Institut does this for us. There is a YTN (young teacher network) that early career teachers can join,No service reported,Networking & Community Support
43,43,"Conference, Webinars","Conference, Webinars and other PL",Events & Conferences;Professional Development & Training,Events & Conferences;Professional Development & Training
44,44,No,No,No service reported,No service reported
45,45,Yes,No,Other/Unclear,No service reported
46,46,"We are targeting early career and pre-service educators in 2026, with mentoring opportunities and discounted rates to access our professional training.","We are targeting early career and pre-service educators in 2026, with mentoring opportunities and increased accessibility to our professional training.",Mentoring;Professional Development & Training;Membership & Fee Support,Mentoring;Professional Development & Training
47,47,Start of year PD event - setting up the classroom,Start of year PD event - setting up the classroom,Professional Development & Training;Classroom & Practical Support,Professional Development & Training;Classroom & Practical Support
48,48,No,No,No service reported,No service reported
49,49,No - but we do for mentors of PST,No - but we do for mentors of PST,No service reported,No service reported
50,50,Free access to member resources on website for Adelaide University pre-service teachers.,Yearly social gathering in December to foster networking and relaxed place to ask questions.,Resources & Publications,Networking & Community Support
51,51,Yes,Yes,Other/Unclear,Other/Unclear
52,52,No,No,No service reported,No service reported
53,53,Not really,No,Other/Unclear,No service reported
54,54,No,No,No service reported,No service reported
55,55,No,No,No service reported,No service reported
56,56,Not at the moment,Not at the moment,No service reported,No service reported
57,57,No,Yes,No service reported,Other/Unclear
58,58,Yes,Yes,Other/Unclear,Other/Unclear
59,59,"Mentoring, PL, publications","Mentoring, PL, Publications",Mentoring;Professional Development & Training;Resources & Publications,Mentoring;Professional Development & Training;Resources & Publications
60,60,Presence at Pre-Service educator conferences and work summits.,No,Events & Conferences,No service reported
61,61,We will,We will,Other/Unclear,Other/Unclear
