Unnamed: 0,What is your biggest advocacy issue for 2025?,What are the biggest threats to your Association in 2025?,What does your Association hope to contribute as an organisation to Educators SA?,What do you hope to get from being a member of Educators SA?,Advocacy Issue Category,Threats Category,Contribution to Educators SA Category,Expected Membership Benefits Category
1,,,Connection with our members,Support with promoting our association,Unsure,Unsure,Member/Community Connection & Support,Promotion & Visibility
2,,,Attending events and supporting the promotion and operations of Educators SA,"Support with - administration, access to grants, help with promotion of events",Unsure,Unsure,Events & Participation; Promotion & Visibility; Organisational Support & Capacity,Governance & Administration; Funding & Financial Support; Promotion & Visibility
3,,,More connection,We hope to become more involved with other associations,Unsure,Unsure,Networking & Collaboration,Networking & Collaboration
4,Support for Heads of Music in building their music programs,Lack of quality classroom and instrumental staff,Music Advocacy - an awareness of all the great work being done by music staff in our schools,"Connections with other associations, ideas as to how to develop our association further",Subject/Program Sustainability & Quality,Workforce & Staffing,Advocacy & Collective Voice; Specialist Expertise & Perspectives,Networking & Collaboration; Membership & Organisational Development
5,"Keeping up to date with social media, Increasing environmental awareness and knowledge",Decreased membership,Professional development opportunities for all educators Raise environmental awareness,"Increased membership Professional connections Collaboration with other associations Professional networking Insight into curriculum and educational policy changes Access to member services Advocacy Professional development opportunities (e.g. Governance, Advocacy) Opportunity to support other associations and educators","Technology & Digital Change; Access, Equity & Inclusion",Membership & Engagement,Professional Learning & Development; Specialist Expertise & Perspectives,Membership & Organisational Development; Networking & Collaboration; Information & Knowledge; Advocacy & Collective Voice; Professional Learning & Development
6,,,For now - a new face!,"Guidance in shared areas with other association - e.g. funding, ideas for member engagement and sustainability",Unsure,Unsure,Organisational Support & Capacity,Funding & Financial Support; Membership & Organisational Development
7,the cochlear implant mismapping,"declining numbers, and the cost of maintaining an association as the price has to be high to maintain the association with our small numbers. Also - providing Auslan interpreting for our events is very costly but it's a must for us.",understanding of inclusive practices,"professional networks, access to grant opportunities, assistance with the governance side of things","Access, Equity & Inclusion","Financial Sustainability & Funding; Access, Equity & Inclusion",Specialist Expertise & Perspectives; Access & Opportunities,Networking & Collaboration; Funding & Financial Support; Governance & Administration
8,Literacy - supporting young people with effective literacy education,low interest in attending PL and declining membership,A voice for literacy education,"ideas for events to engage literacy teachers in person, support with promotion of events, networking with other associations' leaders",Student/Learner Outcomes & Wellbeing,Membership & Engagement; Professional Learning & Development,Advocacy & Collective Voice,Events & Participation; Promotion & Visibility; Networking & Collaboration
9,Providing services for country areas,lack of committee members and not knowing how to find a treasurer that will stay with us,whatever we can but have very limited capacity,Wider distribution of activities and connections with others,Regional & Rural Education,Workforce & Staffing; Organisational Governance & Capacity,Organisational Support & Capacity,Events & Participation; Networking & Collaboration
10,"Reaching regional educators, reaching target audience",Staying relevant. Maintaining online presence with limited time and resources. Content creation (need to employ/hire content creator).,Music subject - specialist expertise,"Networking, get a statewide overview, connecting, be aware of what other associations are doing",Regional & Rural Education,"Organisational Governance & Capacity; Relevance, Visibility & Promotion",Specialist Expertise & Perspectives,Networking & Collaboration; Information & Knowledge
11,Ensuring that SACE resources are apprioriate and correct of the current SACE curriculum.,finding an appropriate time for the conference and workshop that Government School Teachers can attend. Not engaging with the Year 7 - 10 curriculum and mainly focussing on the Stage 1 and 2 classes,"A group to help support the partnership between levels of organisation (eg SACE and Associations) but also build and support financial, economic and business literacy in the wider community",Having an additional voice to improve educational outcomes for both student and teachers.,"Education Policy, Curriculum & Standards","Professional Learning & Development; Education Policy, Curriculum & Standards",Networking & Collaboration; Organisational Support & Capacity,Advocacy & Collective Voice; Information & Knowledge
12,How to improve the quality of PD/workshops for teachers,"Due to the insufficient quality of PD/workshop, as well as inadequate promotion and activities by the committee, the number of teachers willing to join the association as members has been decreasing.","As a member of Educators SA, while receiving support from Educators SA, we are also committed to helping more members learn about Educators SA and building a bridge between the association and Educators SA for teachers in need. Additionally, we will acknowledge and promote Educators SA through various activities and information dissemination processes.","We hope that by becoming a member of Educators SA, we can gain access to various beneficial resources for teachers and students, such as government funding opportunities, PD/workshops, and curriculum information. Additionally, we hope to receive support for activities and promotion for our association. For us, Educators SA is not only an official source of information but also a core organization that unites all associations, giving us a sense of belonging.",Professional Learning & Development,"Membership & Engagement; Professional Learning & Development; Relevance, Visibility & Promotion",Promotion & Visibility; Member/Community Connection & Support,Funding & Financial Support; Professional Learning & Development; Information & Knowledge; Promotion & Visibility; Member/Community Connection & Support
13,"New SA curriculum, continued PD and running excellent STEM competitions",Ensuring we setup as a charitable organization with new ATO rules,Furthering our connections as an association that is consistently engaging with new technologies,The connections with professionals that help teaching associations,"Education Policy, Curriculum & Standards; Professional Learning & Development",Organisational Governance & Capacity,Specialist Expertise & Perspectives; Technology & Digital Change,Networking & Collaboration; Professional Learning & Development
14,Building member numbers,"time poor teachers, the demands on volunteer associations","Being part of the trial Charity status tax group, financial income, collegiality",Connection to a wider network of educators and support in running our association events and supporting our members,Membership & Engagement,Workforce & Staffing,Organisational Support & Capacity; Funding & Financial Support; Member/Community Connection & Support,Networking & Collaboration; Organisational Support & Capacity
15,"Play based learning, Quality Early Childhood Services and Inclusive Education",None known,Early Childhood Perspectives and advocacy,"Connection, support, collegiality - less forced surveys haha","Education Policy, Curriculum & Standards; Access, Equity & Inclusion",Other,Specialist Expertise & Perspectives; Advocacy & Collective Voice,Networking & Collaboration; Member/Community Connection & Support
16,"appropriate quality  and facilities, care and  programs for 3 year olds",overworked volunteers which could result in committee members leaving and also have  trouble attracting new committee members  choose to leave the,"continued strong support to EdSA and other associations , expertise in early childhood matters, an active voice and participation through council meetings etc","support and information, networking with other associations, leadership with advocacy","Access, Equity & Inclusion; Student/Learner Outcomes & Wellbeing",Workforce & Staffing,Specialist Expertise & Perspectives; Advocacy & Collective Voice; Events & Participation; Organisational Support & Capacity,Information & Knowledge; Networking & Collaboration; Advocacy & Collective Voice
17,,,,More members!,Unsure,Unsure,Unsure,Membership & Organisational Development
18,Social media Ban - how to navigate,Declining members,"Contributions at council meetings, advocacy through I belong, membership on board","Advice, governance strategies, membership drive",Technology & Digital Change,Membership & Engagement,Advocacy & Collective Voice; Governance & Administration; Membership & Organisational Development,Advice & Support; Governance & Administration; Membership & Organisational Development
19,,,Networking and connecting with other associations (sharing ideas etc.),"Networking opportunities, helping to promote professional learning opportunities & association help/questions.",Membership & Engagement,Unsure,Networking & Collaboration,Networking & Collaboration; Promotion & Visibility; Organisational Support & Capacity
20,Promoting HaSS in schools,Lack of finance,Support for the work of Educators SA in schools and universities,"Support with publicity, financial advice, Humanitix organisation  and advocacy for associations work in general",Subject/Program Sustainability & Quality,Financial Sustainability & Funding,Advocacy & Collective Voice; Promotion & Visibility,Promotion & Visibility; Funding & Financial Support; Organisational Support & Capacity; Advocacy & Collective Voice
21,,HAA (HASS Association Australia) causing confusion and concern,HASS learning area support,promotion of and support with PD events and committee learning,Competition & External Environment,Competition & External Environment,Specialist Expertise & Perspectives,Promotion & Visibility; Professional Learning & Development; Governance & Administration
22,ACARA V9 / Responsible AI Use,PD still reasonable numbers but the ability for teachers to be released has become more difficult,Whatever we can do to help that is needed.,Support when needed.  An umbrella voice for all associations,"Technology & Digital Change; Education Policy, Curriculum & Standards",Professional Learning & Development; Workforce & Staffing,Organisational Support & Capacity; Advocacy & Collective Voice,Organisational Support & Capacity; Advocacy & Collective Voice
23,Keeping Indoneisan programs alive in SA schools,low numbers of students,We will continue to attend EdSA events,"Networking with other associations, support with association requirements (tax :)), motivation to continue our work",Subject/Program Sustainability & Quality,Membership & Engagement; Student/Learner Outcomes & Wellbeing,Events & Participation; Promotion & Visibility,Networking & Collaboration; Governance & Administration; Member/Community Connection & Support
