"","What kinds of resources/publications do you provide?","What is your biggest advocacy issue for 2025?","What are the biggest threats to your Association in 2025?","What does your Association hope to contribute as an organisation to Educators SA?","What do you hope to get from being a member of Educators SA?"
"1",NA,NA,NA,"Connection with our members","Support with promoting our association"
"2",NA,NA,NA,"Attending events and supporting the promotion and operations of Educators SA","Support with - administration, access to grants, help with promotion of events"
"3","An ATASA manual",NA,NA,"More connection","We hope to become more involved with other associations"
"4","Website - meeting minutes, guest speaker resources, data for advocacy use","Support for Heads of Music in building their music programs","Lack of quality classroom and instrumental staff","Music Advocacy - an awareness of all the great work being done by music staff in our schools","Connections with other associations, ideas as to how to develop our association further"
"5","Units of work Factsheets Weblinks Videos Newsletter Professional Journal","Keeping up to date with social media, Increasing environmental awareness and knowledge","Decreased membership","Professional development opportunities for all educators Raise environmental awareness","Increased membership Professional connections Collaboration with other associations Professional networking Insight into curriculum and educational policy changes Access to member services Advocacy Professional development opportunities (e.g. Governance, Advocacy) Opportunity to support other associations and educators"
"6","Peer Reviewed Journal",NA,NA,"For now - a new face!","Guidance in shared areas with other association - e.g. funding, ideas for member engagement and sustainability"
"7","access to the journal of deaf studies and deaf education","the cochlear implant mismapping","declining numbers, and the cost of maintaining an association as the price has to be high to maintain the association with our small numbers. Also - providing Auslan interpreting for our events is very costly but it's a must for us.","understanding of inclusive practices","professional networks, access to grant opportunities, assistance with the governance side of things"
"8","National association provides regular published journals and a monthly emailed newsletter. Resources available on website include podcasts and articles.","Literacy - supporting young people with effective literacy education","low interest in attending PL and declining membership","A voice for literacy education","ideas for events to engage literacy teachers in person, support with promotion of events, networking with other associations' leaders"
"9","Magazine and teaching/conducting resources in workshops","Providing services for country areas","lack of committee members and not knowing how to find a treasurer that will stay with us","whatever we can but have very limited capacity","Wider distribution of activities and connections with others"
"10","Newsletter at beginning of each term, freely available on website. SACE support documents. National AJME. Access to resources from other ASME chapters around Australia on the website","Reaching regional educators, reaching target audience","Staying relevant. Maintaining online presence with limited time and resources. Content creation (need to employ/hire content creator).","Music subject - specialist expertise","Networking, get a statewide overview, connecting, be aware of what other associations are doing"
"11","website, networking and betasa past exam answers, assessment ideas","Ensuring that SACE resources are apprioriate and correct of the current SACE curriculum.","finding an appropriate time for the conference and workshop that Government School Teachers can attend. Not engaging with the Year 7 - 10 curriculum and mainly focussing on the Stage 1 and 2 classes","A group to help support the partnership between levels of organisation (eg SACE and Associations) but also build and support financial, economic and business literacy in the wider community","Having an additional voice to improve educational outcomes for both student and teachers."
"12","Teacher-created booklets, curriculum documents, posters, flashcards, online resources, various lecture recordings, and shared materials.","How to improve the quality of PD/workshops for teachers","Due to the insufficient quality of PD/workshop, as well as inadequate promotion and activities by the committee, the number of teachers willing to join the association as members has been decreasing.","As a member of Educators SA, while receiving support from Educators SA, we are also committed to helping more members learn about Educators SA and building a bridge between the association and Educators SA for teachers in need. Additionally, we will acknowledge and promote Educators SA through various activities and information dissemination processes.","We hope that by becoming a member of Educators SA, we can gain access to various beneficial resources for teachers and students, such as government funding opportunities, PD/workshops, and curriculum information. Additionally, we hope to receive support for activities and promotion for our association. For us, Educators SA is not only an official source of information but also a core organization that unites all associations, giving us a sense of belonging."
"13",NA,"New SA curriculum, continued PD and running excellent STEM competitions","Ensuring we setup as a charitable organization with new ATO rules","Furthering our connections as an association that is consistently engaging with new technologies","The connections with professionals that help teaching associations"
"14","Teaching resources - units of work, lesson plans etc.","Building member numbers","time poor teachers, the demands on volunteer associations","Being part of the trial Charity status tax group, financial income, collegiality","Connection to a wider network of educators and support in running our association events and supporting our members"
"15","Lots","Play based learning, Quality Early Childhood Services and Inclusive Education","None known","Early Childhood Perspectives and advocacy","Connection, support, collegiality - less forced surveys haha"
"16","human' through networking  and online resources","appropriate quality  and facilities, care and  programs for 3 year olds","overworked volunteers which could result in committee members leaving and also have  trouble attracting new committee members  choose to leave the","continued strong support to EdSA and other associations , expertise in early childhood matters, an active voice and participation through council meetings etc","support and information, networking with other associations, leadership with advocacy"
"17","Teaching resources via website",NA,NA,NA,"More members!"
"18","Regular email newsletter, Blog posts","Social media Ban - how to navigate","Declining members","Contributions at council meetings, advocacy through I belong, membership on board","Advice, governance strategies, membership drive"
