"","serial_num","Do you offer any services targeted specifically at Pre-Service educators?","Do you offer any services targeted specifically at Early Career Educators?"
"1",1,"No we are not teachers","No we are not teachers"
"2",2,"Yes","Yes"
"3",3,"Yes","We offer a 'New to Ag Teaching' day annually"
"4",4,"No","No"
"5",5,"No","No"
"6",6,"No","No"
"7",7,"No","No"
"8",8,"Yes","No"
"9",9,"No","Workshops on choral conducting and directing skills and techniques"
"10",10,"Free membership for tertiary students","Yes"
"11",11,"Not exactly but provide PST free attendance to our workshops and conferences and any other events","No"
"12",12,"Provide pre-service teachers with employment information, curriculum training, classroom observation opportunities, volunteer roles.","No"
"13",13,"No","No"
"14",14,"No","Yes"
"15",15,"Yes","NO"
"16",16,"we have in the past but the take up was low","Yes"
"17",17,"No","No"
"18",18,"Free membership and reduced cost events","Reduced cost membership"
"19",19,"No, at this stage just incentives to attend PD at reduced cost","No"
"20",20,"No","No"
"21",21,"We ensure most PD is inclusive of Pre-Service educators","We ensure most PD is inclusive of Early Career educators"
"22",22,"PD - Aimed at Pre-Service Teachers","As above"
"23",23,"No","We support ECT teachers to attend other events through MLTASA and other associations"
"24",24,"No","No"
"25",25,"No","No"
"26",26,"trying to contact - e-mail them personally - invitation to  hub group - mentoring","PD oppurtunities specific for the role - WHS day / Conferences? hub group invitations/ targeted visits"
"27",27,"Early Career Teacher Expo, presentation of the Adelaide Uni Dux of Languages award.","Early Career Teacher Expo/ Applying for Languages Teacher Jobs PL"
"28",28,"T and D specific, $0 membership","T and D"
"29",29,"Yes","Yes"
"30",30,"discounted workshops, free membership","No"
"31",31,"No","Yes"
"32",32,"SACE sessions and connection opportunities.","No"
"33",33,"No","No"
"34",34,"Student membership (free), student discount on publications","-"
"35",35,"Our pedagogy training is available to pre-service educators and we mentor those teaching the subject of philosophy","Ongoing membership after initial training and networking"
"36",36,"No","No"
"37",37,"No","No"
"38",38,"No","No"
"39",39,"No","mentorship and workshops"
"40",40,"No","No"
"41",41,"No","Yes"
"42",42,"No","The Goethe-Institut does this for us. There is a YTN (young teacher network) that early career teachers can join"
"43",43,"Conference, Webinars","Conference, Webinars and other PL"
"44",44,"No","No"
"45",45,"Yes","No"
"46",46,"We are targeting early career and pre-service educators in 2026, with mentoring opportunities and discounted rates to access our professional training.","We are targeting early career and pre-service educators in 2026, with mentoring opportunities and increased accessibility to our professional training."
"47",47,"Start of year PD event - setting up the classroom","Start of year PD event - setting up the classroom"
"48",48,"No","No"
"49",49,"No - but we do for mentors of PST","No - but we do for mentors of PST"
"50",50,"Free access to member resources on website for Adelaide University pre-service teachers.","Yearly social gathering in December to foster networking and relaxed place to ask questions."
"51",51,"Yes","Yes"
"52",52,"No","No"
"53",53,"Not really","No"
"54",54,"No","No"
"55",55,"No","No"
"56",56,"Not at the moment","Not at the moment"
"57",57,"No","Yes"
"58",58,"Yes","Yes"
"59",59,"Mentoring, PL, publications","Mentoring, PL, Publications"
"60",60,"Presence at Pre-Service educator conferences and work summits.","No"
"61",61,"We will","We will"
