Unnamed: 0,What kinds of resources/publications do you provide?,What is your biggest advocacy issue for 2025?,What are the biggest threats to your Association in 2025?,What does your Association hope to contribute as an organisation to Educators SA?,What do you hope to get from being a member of Educators SA?,Resources/Publications Category,Advocacy Issue Category,Threats Category,Contribution to Educators SA Category,Expected Membership Benefits Category
1,,,,Connection with our members,Support with promoting our association,Unsure,Unsure,Unsure,Networking & member connection,Promotion & event support
2,,,,Attending events and supporting the promotion and operations of Educators SA,"Support with - administration, access to grants, help with promotion of events",Unsure,Unsure,Unsure,Participation & engagement; Promotion & communication,Governance & administration; Funding & grants; Promotion & event support
3,An ATASA manual,,,More connection,We hope to become more involved with other associations,Teaching & curriculum resources,Unsure,Unsure,Networking & member connection,Networking & collaboration; Association development
4,"Website - meeting minutes, guest speaker resources, data for advocacy use",Support for Heads of Music in building their music programs,Lack of quality classroom and instrumental staff,Music Advocacy - an awareness of all the great work being done by music staff in our schools,"Connections with other associations, ideas as to how to develop our association further",Digital/online resources; Research/advocacy publications,Subject-specific advocacy; Workforce & staffing,Workforce & staffing,Advocacy & representation; Specialist expertise,Networking & collaboration; Association development
5,Units of work Factsheets Weblinks Videos Newsletter Professional Journal,"Keeping up to date with social media, Increasing environmental awareness and knowledge",Decreased membership,Professional development opportunities for all educators Raise environmental awareness,"Increased membership Professional connections Collaboration with other associations Professional networking Insight into curriculum and educational policy changes Access to member services Advocacy Professional development opportunities (e.g. Governance, Advocacy) Opportunity to support other associations and educators",Teaching & curriculum resources; Newsletters & updates; Research/academic publications,Technology & digital change; Environmental education,Membership decline & engagement,Professional learning; Advocacy & representation; Specialist expertise,Membership & association development; Networking & collaboration; Information & policy; Advocacy & collective voice; Professional development; Governance & administration
6,Peer Reviewed Journal,,,For now - a new face!,"Guidance in shared areas with other association - e.g. funding, ideas for member engagement and sustainability",Research/academic publications,Unsure,Unsure,Participation & engagement,Funding & grants; Association development; Governance & administration
7,access to the journal of deaf studies and deaf education,the cochlear implant mismapping,"declining numbers, and the cost of maintaining an association as the price has to be high to maintain the association with our small numbers. Also - providing Auslan interpreting for our events is very costly but it's a must for us.",understanding of inclusive practices,"professional networks, access to grant opportunities, assistance with the governance side of things",Research/academic publications,Subject/sector-specific advocacy,Membership decline & engagement; Financial pressures; Accessibility costs,Specialist expertise; Inclusion & equity perspective,Networking & collaboration; Funding & grants; Governance & administration
8,National association provides regular published journals and a monthly emailed newsletter. Resources available on website include podcasts and articles.,Literacy - supporting young people with effective literacy education,low interest in attending PL and declining membership,A voice for literacy education,"ideas for events to engage literacy teachers in person, support with promotion of events, networking with other associations' leaders",Research/academic publications; Newsletters & updates; Digital/online resources,Quality teaching & learning; Student outcomes,Membership decline & engagement; Professional learning participation,Advocacy & representation; Specialist expertise,Promotion & event support; Networking & collaboration
9,Magazine and teaching/conducting resources in workshops,Providing services for country areas,lack of committee members and not knowing how to find a treasurer that will stay with us,whatever we can but have very limited capacity,Wider distribution of activities and connections with others,Teaching & curriculum resources; Event/workshop materials,Access & regional equity,Volunteer/committee capacity; Governance/leadership,Participation & engagement,Promotion & event support; Networking & collaboration
10,"Newsletter at beginning of each term, freely available on website. SACE support documents. National AJME. Access to resources from other ASME chapters around Australia on the website","Reaching regional educators, reaching target audience",Staying relevant. Maintaining online presence with limited time and resources. Content creation (need to employ/hire content creator).,Music subject - specialist expertise,"Networking, get a statewide overview, connecting, be aware of what other associations are doing",Newsletters & updates; Teaching & curriculum resources; Research/academic publications; Digital/online resources,Access & regional equity,Digital/online capacity; Operational capacity,Specialist expertise,Networking & collaboration; Information & policy
11,"website, networking and betasa past exam answers, assessment ideas",Ensuring that SACE resources are apprioriate and correct of the current SACE curriculum.,finding an appropriate time for the conference and workshop that Government School Teachers can attend. Not engaging with the Year 7 - 10 curriculum and mainly focussing on the Stage 1 and 2 classes,"A group to help support the partnership between levels of organisation (eg SACE and Associations) but also build and support financial, economic and business literacy in the wider community",Having an additional voice to improve educational outcomes for both student and teachers.,Digital/online resources; Teaching & curriculum resources,Curriculum & education policy,Professional learning participation; Curriculum relevance,Networking & collaboration; Specialist expertise,Advocacy & collective voice
12,"Teacher-created booklets, curriculum documents, posters, flashcards, online resources, various lecture recordings, and shared materials.",How to improve the quality of PD/workshops for teachers,"Due to the insufficient quality of PD/workshop, as well as inadequate promotion and activities by the committee, the number of teachers willing to join the association as members has been decreasing.","As a member of Educators SA, while receiving support from Educators SA, we are also committed to helping more members learn about Educators SA and building a bridge between the association and Educators SA for teachers in need. Additionally, we will acknowledge and promote Educators SA through various activities and information dissemination processes.","We hope that by becoming a member of Educators SA, we can gain access to various beneficial resources for teachers and students, such as government funding opportunities, PD/workshops, and curriculum information. Additionally, we hope to receive support for activities and promotion for our association. For us, Educators SA is not only an official source of information but also a core organization that unites all associations, giving us a sense of belonging.",Teaching & curriculum resources; Digital/online resources; Event/workshop materials,Professional learning & educator support,Membership decline & engagement; Professional learning quality; Volunteer/committee capacity,Promotion & communication; Networking & collaboration; Advocacy & representation,Funding & grants; Professional development; Information & policy; Promotion & event support; Community & belonging
13,,"New SA curriculum, continued PD and running excellent STEM competitions",Ensuring we setup as a charitable organization with new ATO rules,Furthering our connections as an association that is consistently engaging with new technologies,The connections with professionals that help teaching associations,Unsure,Curriculum & education policy; Professional learning & educator support,Government/regulatory change; Governance/compliance,Specialist expertise; Technology/digital perspective,Networking & collaboration
14,"Teaching resources - units of work, lesson plans etc.",Building member numbers,"time poor teachers, the demands on volunteer associations","Being part of the trial Charity status tax group, financial income, collegiality",Connection to a wider network of educators and support in running our association events and supporting our members,Teaching & curriculum resources,Association membership & sustainability,Volunteer/committee capacity; Operational capacity,Governance & leadership; Networking & collaboration,Networking & collaboration; Promotion & event support
15,Lots,"Play based learning, Quality Early Childhood Services and Inclusive Education",None known,Early Childhood Perspectives and advocacy,"Connection, support, collegiality - less forced surveys haha",Other,Early childhood; Inclusion & quality education,Other,Specialist expertise; Advocacy & representation,Networking & collaboration; Support & community
16,human' through networking  and online resources,"appropriate quality  and facilities, care and  programs for 3 year olds",overworked volunteers which could result in committee members leaving and also have  trouble attracting new committee members  choose to leave the,"continued strong support to EdSA and other associations , expertise in early childhood matters, an active voice and participation through council meetings etc","support and information, networking with other associations, leadership with advocacy",Digital/online resources; Other,Early childhood; Inclusion & quality education,Volunteer/committee capacity,Advocacy & representation; Specialist expertise; Participation & engagement,Information & policy; Networking & collaboration; Advocacy & collective voice
17,Teaching resources via website,,,,More members!,Teaching & curriculum resources; Digital/online resources,Unsure,Unsure,Unsure,Membership & association development
18,"Regular email newsletter, Blog posts",Social media Ban - how to navigate,Declining members,"Contributions at council meetings, advocacy through I belong, membership on board","Advice, governance strategies, membership drive",Newsletters & updates; Digital/online resources,Technology & digital change; Student wellbeing/safeguarding,Membership decline & engagement,Advocacy & representation; Governance & leadership,Governance & administration; Membership & association development
19,,,,Networking and connecting with other associations (sharing ideas etc.),"Networking opportunities, helping to promote professional learning opportunities & association help/questions.",Unsure,Unsure,Unsure,Networking & collaboration,Networking & collaboration; Promotion & event support; Governance & administration
20,Digital booklets on creative teaching and practical fieldwork,Promoting HaSS in schools,Lack of finance,Support for the work of Educators SA in schools and universities,"Support with publicity, financial advice, Humanitix organisation  and advocacy for associations work in general",Teaching & curriculum resources; Digital/online resources,Subject-specific advocacy; Quality teaching & learning,Financial pressures,Participation & engagement; Advocacy & representation,Promotion & event support; Financial support; Governance & administration; Advocacy & collective voice
21,Aboriginal Studies so far,,HAA (HASS Association Australia) causing confusion and concern,HASS learning area support,promotion of and support with PD events and committee learning,Teaching & curriculum resources,Unsure,Competition/organisational confusion,Specialist expertise,Promotion & event support; Professional development; Governance & administration
22,A quarterly Newsletter,ACARA V9 / Responsible AI Use,PD still reasonable numbers but the ability for teachers to be released has become more difficult,Whatever we can do to help that is needed.,Support when needed.  An umbrella voice for all associations,Newsletters & updates,Technology & digital change; Curriculum & education policy,Professional learning participation; Operational capacity,Participation & engagement,Advocacy & collective voice; Support & community
23,,Keeping Indoneisan programs alive in SA schools,low numbers of students,We will continue to attend EdSA events,"Networking with other associations, support with association requirements (tax :)), motivation to continue our work",Unsure,Subject-specific advocacy; Curriculum & education policy,Sector/workforce decline,Participation & engagement,Networking & collaboration; Governance & administration; Support & community
24,Welcome Newsletter,"Access + info for the SA Curriculum, and how we can have any kind of support from the government (or other) to run our association, as we are struggling to manage",Disengaged member base - won't help or contribute; poor take up of information or survey completion; hard for schools to attend meetings,Issues affecting our assn / sectors,Help with the assn things - tax etc,Newsletters & updates,Curriculum & education policy; Association membership & sustainability; Government/funding support,Membership engagement; Volunteer/committee capacity; Operational capacity,Advocacy & representation; Specialist expertise,Governance & administration
25,"access to resources we find useful via provision of QR codes at workshops; we used to run a resource table, but have stopped this, as it binds up a lot of finances and needs storage and people to manage this",holding onto members,doing too much and burning out volunteers,networking across different areas of interest,information about all sectors and networking,Digital/online resources; Event/workshop materials,Association membership & sustainability,Volunteer/committee capacity; Operational capacity,Networking & collaboration,Information & policy; Networking & collaboration
26,specific Laborataory manuals (as in guide to Safety Equipment) Laboratory Managers Practices  publications at no cost to our members only,for membership - public support / currently our members indicated they felt cut off with no contact - connection communication breakdown for committee- new LMASA committee members to commit to roles  - all are about to retire in the next few years,IT threats /technology changes in curriculum/changes in the role/ on the job you do not kept on a minimum level 1 just because your school does not recognise the role as lab assistant as important -risk management,use of the rooms for meetings/pd meeting opportunities/continued pd for committee members in their roles etc,support for those isolated - only 1 in this role usually at a school - English not necessarily first language - language barriers,Teaching & curriculum resources; Research/academic publications,Association membership & sustainability,Technology/digital change; Workforce & role recognition; Governance/risk,Participation & engagement; Professional learning,Support & community; Access & inclusion
27,Aim to have one newsletter a term,Hosting the AFMLTA Biannual Conference,Reduced memberships and/or attendance at PL where costs are incurred due to increased cost of living and competing financial priorities,Voice in Advisory meetings; communication about challenges faced and collaborative problem solving; representation on the Minister's Languages Award panel.,Professional support with the Tax/ Charitable NFP; Governance Support; Networking through PL and social events; PL grant funding; advocacy; World Teacher's Day presence; association 'big picture' through EdSA advisory meetings.,Newsletters & updates,Professional events/conferences; Subject-specific advocacy,Membership decline & engagement; Financial pressures; Professional learning participation,Advocacy & representation; Participation & engagement; Specialist expertise,Governance & administration; Networking & collaboration; Professional development; Funding & grants; Advocacy & collective voice; Information & policy
28,Many Stage 1 and 2. EDSA manages,membership,"membership, executive sustainability, tax","support, leadership by experienced members","support, advice",Other,Association membership & sustainability,Membership decline & engagement; Governance/compliance; Financial pressures,Specialist expertise; Governance & leadership,Advice & support
29,Information available on website - books and electronic resources,Charity Status changes; Ongoing changes to national and state curriculum and lack of resourcing for teachers to implement these changes,Financial pressures impacting membership sign ups,Participation in an education network; mentoring support for smaller organisations; networking and collaboration opportunities,Grant support; Facilitation and guidance with regards to ATO and Charity status changes,Digital/online resources; Teaching & curriculum resources,Government/regulatory change; Curriculum & education policy; Workforce & resourcing,Financial pressures; Membership decline & engagement,Networking & collaboration; Support for associations,Funding & grants; Governance & administration
30,blog for members,"Time poor educators, difficulty reaching out to schools for new members",lower membership and workshop attendance,A network of music educators,"support for associations - advice, guidance, support. Membership portal is so valuable.",Digital/online resources,Association membership & sustainability; Access & regional equity,Membership decline & engagement; Professional learning participation,Networking & collaboration; Specialist expertise,Governance & administration; Association development; Support & community
31,"Newsletter, Diary",Time for all committee members to attend not just one or two,,Partnership and support,Partnership and support,Newsletters & updates; Other,Association membership & sustainability,Unsure,Support for Educators SA; Networking & collaboration,Support & community; Networking & collaboration
32,Members get access to JOEE and OE news,working through the charity ACNC process,volunteers,"increase member awareness, encourage people to advocate for chosen subject","Support and workshops, advice have been great. Award acknowledgement event was also special.",Research/academic publications; Newsletters & updates,Government/regulatory change,Volunteer/committee capacity,Promotion & communication; Advocacy & representation,Professional development; Promotion & event support; Recognition
33,"Teams chat group, regular email updates on relevant topics and event information","Preschool Reform, Support and Inclusion (including violent behaviour in preschoolers), preschool leader wellbeing","Broad range of priorities and lack of capacity to address these, volunteer members with heavy paid workloads","contribute to the board, connect with other early childhood associations, raise profile of early years learners and leaders","I appreciate the support for PD sessions, the information about governance and administration compliance and strategies, connection with other associations, collaboration on shared issues and EdAssist",Digital/online resources; Newsletters & updates,Early childhood; Inclusion & quality education; Workforce & wellbeing,Volunteer/committee capacity; Operational capacity,Governance & leadership; Networking & collaboration; Advocacy & representation,Governance & administration; Networking & collaboration; Professional development; Information & policy; Support & community
34,"Units of work, publications, online resources, PETAA papers,",Building a profile in SA,Membership numbers,"Another voice and perspective, support and engagement",Advocacy and a community of professional partners,Teaching & curriculum resources; Research/academic publications; Digital/online resources,Association profile & visibility,Membership decline & engagement,Advocacy & representation; Specialist expertise,Advocacy & collective voice; Networking & collaboration
35,Journal of Philosophy in Schools,spaces to train educators and ability to reach educators,Our current size and time,Active support and engagement with EdSA initiatives a unique perspective to issues faced by educators and associations. What ever we can do to help.,"support, guidance, and help to collaborate with other associations",Research/academic publications,Professional learning & educator support; Access & regional equity,Operational capacity; Volunteer/committee capacity,Participation & engagement; Specialist expertise,Advice & support; Networking & collaboration
36,Anything from National and State perspective.  New research articles etc,Support re funding for students with disability especially in units and special classes,Keeping membership strong,Up to date information re successes and barriers,"Advice, support as required, unified front to tackle issues",Research/academic publications; Newsletters & updates,Inclusion & disability support; Government/funding support,Membership decline & engagement,Specialist expertise,Advice & support; Advocacy & collective voice
37,"Newsletters, Commissioning ACER to undertake comprehensive research - The report from that research.",School library staffing,school library staffing,"Connecting and collaborating with others, sharing ideas and successes",continued knowledge about how best to manage/build/run an association,Newsletters & updates; Research/academic publications,Workforce & staffing,Workforce & staffing,Networking & collaboration,Association development; Governance & administration
38,linked to ACTA (national organisation) - quarterly peer reviewed online journal,,,perspectives on the adult sector; dealing with an area of education which is not classified by ACARA as a subject,Advice/support on governance issues; access to information on curriculum and other areas of relevance; access to ministers/shadow ministers re policies etc,Research/academic publications,Unsure,Unsure,Specialist expertise,Governance & administration; Information & policy; Advocacy & collective voice
39,Teaching resources,Revitalizing the teaching and learning of the Italian language,,Provide support and ideas,Support in running the association and general updated in the Education field,Teaching & curriculum resources,Subject-specific advocacy; Curriculum & education policy,Unsure,Support for Educators SA; Specialist expertise,Governance & administration; Information & policy
40,Mail Chimp,National Skills Agreement for SA,Membership,Attendance at Ed SA council meetings,"Advice, support",Newsletters & updates,Government/funding support; Workforce & staffing,Membership decline & engagement,Participation & engagement,Advice & support
41,,"retention, promoting French in schools with no language ( of which there are many)  promoting French in the regions","Schools closing down French programs, retention of French teachers on sites, French teachers taking leave and not being replaced, these teachers no longer requiring our association if not teaching French",supporting other language associations through EDSA! Together we are stronger!,"connection, support and love!",Unsure,Subject-specific advocacy; Workforce & staffing; Access & regional equity,Sector/workforce decline; Membership decline & engagement,Support for associations; Networking & collaboration,Support & community; Networking & collaboration
42,"Excursion Guide, during Covid we created online guides, we send out the conference materials to everyone who attended.",We need more teachers - this is our most urgent issue. We want the SA government to offer incentives to students to commit to becoming language teachers via scholarships.,Dropping numbers of German teachers and programs,"Meeting and Event attendance, helping with judging for scholarships if needed, spreading Educators SA news to our members",Information and support - as we already do,Teaching & curriculum resources; Digital/online resources; Event/workshop materials,Workforce & staffing; Government/funding support; Subject-specific advocacy,Sector/workforce decline,Participation & engagement; Promotion & communication; Specialist expertise,Information & policy; Advice & support
43,"Science Terxtbooks, trial exams, topic tests, videos, newsletters and Journal",Teacher contact time,none that are obvious right now,Contributing our voice to the Council Meetings during the year,Advocacy,Teaching & curriculum resources; Newsletters & updates; Research/academic publications; Digital/online resources,Workforce & staffing,Other,Advocacy & representation; Participation & engagement,Advocacy & collective voice
44,Conference material,Unsure at theis time,Non attendance at conference as is close to the stte wide conference,Unsure,"Advise and support, especially self review and support with our conference",Event/workshop materials,Unsure,Professional event attendance,Unsure,Advice & support; Professional development
45,from hard copies of books and resources to digital materials,SA curriculum and keeping language teachers teaching languages,Not a lot of support to Language learning,Participation and contribution upon request.,Professional development opportunities and funding opportunities to improve our services. Meetings that are useful to improve our organisation.,Teaching & curriculum resources; Digital/online resources,Subject-specific advocacy; Curriculum & education policy; Workforce & staffing,Sector/workforce decline; Government/funding support,Participation & engagement,Professional development; Funding & grants; Governance & administration
46,Quarterly Magazine,"Professional Standards of Instrumental MusicTeachers, and Promotion of the Benefits of Music Education in the Curriculum",Cost of Living pressures threatens our members/industry as we are usually an extra-curricular expense for families,We hope to be an active member and are ready to contribute to EdSA in 2026. We are very proud to have our council member and EdSA representative Jessica Liu on the Ed SA board this year.,"Guidance and support in Association compliance and governance, as well as collaboration and Collegiate interaction with other dedicated associations",Newsletters & updates; Research/academic publications,Subject-specific advocacy; Curriculum & education policy,Financial pressures; Sector/workforce decline,Governance & leadership; Participation & engagement,Governance & administration; Networking & collaboration
