Unnamed: 0,How many professional learning events does your Association run each year?,What type of events are they?,What locations are you using to run your events?,Who are your target Members?,What are your Member categories?,How do you advertise for Members?,Classification - Professional Learning Event Frequency,Classification - Event Types,Classification - Event Locations,Classification - Target Members,Classification - Member Categories,Classification - Member Advertising
1,5-10,"Members Day/AGM, Annual Conference, Seminar Day, Webinars, Dinner","Convention Centre, Morphetville Racecourse, Crown Mawson Lakes and others",Business Leaders/Managers  Finance Managers/Officers,"Full membership, Associate membership, Friends of SASBA","Chat lines, seminars, conferences, word of mouth",5-10,Conferences; Online / Hybrid events; Networking / Community events; Presentations / Seminars,Community / Public / Special venues; Hotels / Conference venues,Leaders / Senior Professionals; Educators / Professional Practitioners,Individual / Full membership; Associate / Concession / Other reduced-status membership,Events / Professional learning; Member / Professional networks & Partnerships
2,2-5,PL and networking,"Universities, Industry and Schools",Media Arts and Media Studies teachers,"Corporate(Schools), Individual and student","Email, Facebook and Insta",2-5,Networking / Community events,Schools / Education sites; Universities / TAFE,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Corporate / Commercial membership; Student / Pre-service membership,Social media / Digital platforms; Email / Direct mail / Newsletter
3,2-5,Curriculum,Urrbrae in Adelaide,Current Ag Teachers,"Full Members, Student Members and Life Members","Through Lead Ag Teacher, DfE lists, social media and Tidy HQ",2-5,Other,Schools / Education sites,Educators / Professional Practitioners,Individual / Full membership; Student / Pre-service membership; Retired / Life / Honorary membership,Social media / Digital platforms; Member / Professional networks & Partnerships
4,2-5,"Meeting and Guest Speaker, or Moderation Sessions",Various schools,Head of Music in Independent Schools,"Heads of Music, Director/ Head of Performing Arts, Music Coordinators","AISSA, CESA, Word of Mouth",2-5,Professional learning / Workshops; Networking / Community events; Presentations / Seminars,Schools / Education sites,Schools / Organisations / Services; Leaders / Senior Professionals; Educators / Professional Practitioners,Role / Sector-specific membership,Member / Professional networks & Partnerships
5,2-5,"Face-to-face, online and blended workshops (AAEESA or at other association conferences)","School sites, environment centres, outdoors (parks and gardens)","All educators at all levels, sites, sectors and experience levels",• Individual • Student/Concession/Seniors • International Individual • Family • School/Small NGO • Corporate/Large NGO • Life • International Life • Honorary Life,"Stands and workshops at conferences and events, social media, professional networks, community engagement",2-5,Conferences; Professional learning / Workshops,Schools / Education sites; Community / Public / Special venues,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Corporate / Commercial membership; Student / Pre-service membership; Retired / Life / Honorary membership; Associate / Concession / Other reduced-status membership,Social media / Digital platforms; Events / Professional learning; Member / Professional networks & Partnerships
6,2-5,Various - sharing of research and practice,City venues/Online,"Special, Inclusive and General Educators",Individual or School membership,"Usually at events, a little bit on social media",2-5,Professional learning / Workshops,Online / Virtual,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership,Social media / Digital platforms; Events / Professional learning
7,2-5,"professional learning for teachers of the deaf around language, hearing tech etc.","EDC, or schools",qualified teachers of the deaf,"Full, Association, Life",on our website. We also go to tafe and talk to people studying Auslan.,2-5,Professional learning / Workshops,Schools / Education sites; Education / Training centres,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Retired / Life / Honorary membership,Website / Online presence; Direct outreach / Institutional contacts
8,5-10,National annual conference (new state each year) and local network book group,"Convention Centre (national conference), volunteer local primary school",practising teachers (all sectors),individual (including tertiary student category) and school / organisation,"through annual national conference, publications and national communications.",5-10,Conferences; Professional learning / Workshops; Networking / Community events,Schools / Education sites; Hotels / Conference venues,Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership,Email / Direct mail / Newsletter; Events / Professional learning
9,2-5,"Choral Conducting skills development, Primary schools choirs development",Church halls and community halls,Choirs in South Australia,School/Choir/Institution or Individual/Concession,"Facebook, National Magazine, in performances, email, newsletters",2-5,Professional learning / Workshops,Community / Public / Special venues,Schools / Organisations / Services; Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Associate / Concession / Other reduced-status membership,Social media / Digital platforms; Email / Direct mail / Newsletter; Events / Professional learning
10,2-5,Saturday morning workshops. PD package - 6 days (offered as 3 x 2 days) usually in Terms 2/3,"schools, community halls","music teachers in schools, early years, tertiary music students","Individual, Organisation, Student","ASME website, PL events",2-5,Professional learning / Workshops,Schools / Education sites; Community / Public / Special venues,Schools / Organisations / Services; Students / Pre-service / Early Career; Educators / Professional Practitioners,Individual / Full membership; School / Institutional / Organisation membership; Student / Pre-service membership,Website / Online presence; Events / Professional learning
